InstanceName: vrplc12_8_30_s1
T: 150
Q: 15
C: 1
ResourceType: ServiceResources

         L         X         Y
       L-D         0         0
       L-1       -17       -14
       L-2        15       -12
       L-3         3        10
       L-4       -13         3
       L-5         7         3
       L-6         7        17
       L-7        -7        -1
       L-8         0        -7

        R         L         A         B         S         Q
     R-P1       L-7         8        41        13         4
     R-P2       L-2        43        69        14         4
     R-P3       L-8        21        57        17         1
     R-P4       L-8        18        46        16         2
     R-P5       L-4        33        69        12         3
     R-P6       L-8        11        44        12         2
     R-P7       L-4        15        38        19         3
     R-P8       L-7        33        60        11         1
     R-P9       L-5        19        35        11         1
    R-P10       L-7        31        51        19         2
    R-P11       L-2        20        58        10         1
    R-P12       L-1        23        59        14         1
    R-P13       L-8        30        60        10         1
    R-P14       L-5        27        59        15         2
    R-P15       L-7         8        36        15         1
    R-P16       L-7        11        39        16         1
    R-P17       L-3        11        47        17         4
    R-P18       L-8        14        45        19         1
    R-P19       L-7        32        64        11         1
    R-P20       L-7        31        68        18         2
    R-P21       L-4        29        68        14         1
    R-P22       L-6        36        58        11         2
    R-P23       L-5        58        80        13         4
    R-P24       L-2        20        38        17         3
    R-P25       L-3        17        32        16         3
    R-P26       L-6        26        48        14         3
    R-P27       L-3        30        50        11         3
    R-P28       L-8        30        68        12         1
    R-P29       L-4        14        42        14         2
    R-P30       L-5        28        51        11         4
     R-D1       L-4        29        80        13        -4
     R-D2       L-5        74       121        14        -4
     R-D3       L-6        63       112        17        -1
     R-D4       L-1        53       104        16        -2
     R-D5       L-3        63       118        12        -3
     R-D6       L-5        36       100        12        -2
     R-D7       L-8        51       105        19        -3
     R-D8       L-6        67       112        11        -1
     R-D9       L-3        39       100        11        -1
    R-D10       L-3        65       108        19        -2
    R-D11       L-3        56        96        10        -1
    R-D12       L-2        70       115        14        -1
    R-D13       L-7        50       116        10        -1
    R-D14       L-3        51        98        15        -2
    R-D15       L-3        38       100        15        -1
    R-D16       L-8        37        89        16        -1
    R-D17       L-6        37        95        17        -4
    R-D18       L-4        50        92        19        -1
    R-D19       L-6        66       110        11        -1
    R-D20       L-8        59       111        18        -2
    R-D21       L-5        63       118        14        -1
    R-D22       L-5        61       111        11        -2
    R-D23       L-3        80       120        13        -4
    R-D24       L-3        63       114        17        -3
    R-D25       L-1        65       111        16        -3
    R-D26       L-5        54       100        14        -3
    R-D27       L-5        50       100        11        -3
    R-D28       L-3        60       125        12        -1
    R-D29       L-6        53        93        14        -2
    R-D30       L-7        54       118        11        -4
