InstanceName: vrplc12_11_40_s9
T: 150
Q: 15
C: 9
ResourceType: ServiceResources

         L         X         Y
       L-D         0         0
       L-1       -17       -14
       L-2        15       -12
       L-3         3        10
       L-4       -13         3
       L-5         7         3
       L-6         7        17
       L-7        -7        -1
       L-8         0        -7
       L-9        -2        15
      L-10       -11        19
      L-11         6         6

        R         L         A         B         S         Q
     R-P1       L-7         8        41        13         4
     R-P2       L-2        43        69        14         4
     R-P3       L-8        21        57        17         1
     R-P4       L-1        40        66        10         2
     R-P5       L-8        18        46        16         2
     R-P6       L-3        11        36        11         2
     R-P7       L-5        46        66        15         4
     R-P8       L-9        20        36        10         4
     R-P9       L-9        17        46        14         2
    R-P10       L-4        33        69        12         3
    R-P11       L-3        16        53        11         3
    R-P12       L-8        11        44        12         2
    R-P13       L-4        15        38        19         3
    R-P14      L-10        23        45        17         3
    R-P15       L-3        22        41        10         4
    R-P16       L-7        33        60        11         1
    R-P17       L-5        57        95        16         2
    R-P18      L-11        11        39        18         2
    R-P19       L-5        19        35        11         1
    R-P20       L-7        31        51        19         2
    R-P21       L-5        47        78        14         2
    R-P22       L-2        20        58        10         1
    R-P23      L-11         9        25        12         4
    R-P24       L-1        23        59        14         1
    R-P25       L-8        30        60        10         1
    R-P26       L-9        16        32        11         4
    R-P27       L-8        14        32        18         4
    R-P28       L-5        27        59        15         2
    R-P29       L-7         8        36        15         1
    R-P30       L-7        11        39        16         1
    R-P31       L-3        11        47        17         4
    R-P32       L-8        14        45        19         1
    R-P33       L-2        20        41        11         2
    R-P34       L-8        18        52        11         2
    R-P35       L-7        32        64        11         1
    R-P36       L-7        31        68        18         2
    R-P37       L-8         7        31        10         2
    R-P38       L-3        24        61        19         3
    R-P39      L-11        16        53        16         1
    R-P40       L-6        39        72        11         3
     R-D1       L-4        29        80        13        -4
     R-D2       L-5        74       121        14        -4
     R-D3       L-6        63       112        17        -1
     R-D4      L-11        81       124        10        -2
     R-D5       L-1        53       104        16        -2
     R-D6       L-9        30        79        11        -2
     R-D7      L-11        65       110        15        -4
     R-D8       L-3        38        79        10        -4
     R-D9       L-8        54       103        14        -2
    R-D10       L-3        63       118        12        -3
    R-D11      L-10        44       102        11        -3
    R-D12       L-5        36       100        12        -2
    R-D13       L-8        51       105        19        -3
    R-D14       L-3        57        99        17        -3
    R-D15      L-10        49       103        10        -4
    R-D16       L-6        67       112        11        -1
    R-D17      L-11        77       121        16        -2
    R-D18       L-6        41        88        18        -2
    R-D19       L-3        39       100        11        -1
    R-D20       L-3        65       108        19        -2
    R-D21      L-11        65       112        14        -2
    R-D22       L-3        56        96        10        -1
    R-D23       L-1        52       103        12        -4
    R-D24       L-2        70       115        14        -1
    R-D25       L-7        50       116        10        -1
    R-D26       L-3        35        91        11        -4
    R-D27       L-9        55       106        18        -4
    R-D28       L-3        51        98        15        -2
    R-D29       L-3        38       100        15        -1
    R-D30       L-8        37        89        16        -1
    R-D31       L-6        37        95        17        -4
    R-D32       L-4        50        92        19        -1
    R-D33       L-9        63       106        11        -2
    R-D34      L-11        44       101        11        -2
    R-D35       L-6        66       110        11        -1
    R-D36       L-8        59       111        18        -2
    R-D37      L-10        46       115        10        -2
    R-D38       L-9        51       114        19        -3
    R-D39       L-7        47       103        16        -1
    R-D40       L-9        60       123        11        -3
