InstanceName: vrplc11_11_10_s5
T: 150
Q: 15
C: 5
ResourceType: ServiceResources

         L         X         Y
       L-D         0         0
       L-1       -15        12
       L-2        -1        -6
       L-3        -3        -2
       L-4        13         1
       L-5         3        12
       L-6       -16        -4
       L-7        14        12
       L-8        11       -19
       L-9       -12       -17
      L-10       -14         6
      L-11       -12         2

        R         L         A         B         S         Q
     R-P1       L-7        23        58        18         2
     R-P2      L-11        27        53        11         3
     R-P3       L-3         4        33        19         4
     R-P4       L-5        20        50        15         2
     R-P5       L-1        20        50        13         4
     R-P6      L-10        16        34        13         4
     R-P7       L-5        13        44        14         3
     R-P8       L-9        40        63        16         2
     R-P9      L-11        31        60        17         1
    R-P10       L-6        30        54        14         3
     R-D1      L-11        69       109        18        -2
     R-D2       L-2        52        93        11        -3
     R-D3       L-2        28        79        19        -4
     R-D4      L-10        54       112        15        -2
     R-D5      L-11        44       112        13        -4
     R-D6      L-11        34        81        13        -4
     R-D7       L-8        60       107        14        -3
     R-D8       L-2        72       115        16        -2
     R-D9       L-6        56       104        17        -1
    R-D10       L-1        61       108        14        -3
