InstanceName: vrplc11_5_40_s10
T: 150
Q: 15
C: 10
ResourceType: ServiceResources

         L         X         Y
       L-D         0         0
       L-1       -15        12
       L-2        -1        -6
       L-3        -3        -2
       L-4        13         1
       L-5         3        12

        R         L         A         B         S         Q
     R-P1       L-3         4        33        19         4
     R-P2       L-3        25        41        13         2
     R-P3       L-5        32        59        14         1
     R-P4       L-5        14        32        19         1
     R-P5       L-1        20        51        13         4
     R-P6       L-3         4        29        12         4
     R-P7       L-5        45        77        13         2
     R-P8       L-3        36        69        11         4
     R-P9       L-3        27        48        10         3
    R-P10       L-2         7        29        15         1
    R-P11       L-1        20        51        17         1
    R-P12       L-1        20        57        17         4
    R-P13       L-1        20        35        11         3
    R-P14       L-4        22        53        17         3
    R-P15       L-5        13        38        14         4
    R-P16       L-4        14        39        11         1
    R-P17       L-4        24        47        16         1
    R-P18       L-4        42        62        11         2
    R-P19       L-3        39        65        10         1
    R-P20       L-3        12        39        10         2
    R-P21       L-2        20        47        16         2
    R-P22       L-5        13        43        16         3
    R-P23       L-4        14        51        13         4
    R-P24       L-1        20        39        11         4
    R-P25       L-1        26        63        19         1
    R-P26       L-4        14        31        17         3
    R-P27       L-5        17        54        13         1
    R-P28       L-5        23        44        17         2
    R-P29       L-1        20        45        16         2
    R-P30       L-2         7        26        17         3
    R-P31       L-2        37        70        16         4
    R-P32       L-2        11        28        15         3
    R-P33       L-2        19        56        17         3
    R-P34       L-3        11        41        11         3
    R-P35       L-4        14        37        17         2
    R-P36       L-4        14        49        19         2
    R-P37       L-4        17        53        17         3
    R-P38       L-4        34        65        17         4
    R-P39       L-5        13        34        19         1
    R-P40       L-5        13        29        10         4
     R-D1       L-2        28        79        19        -4
     R-D2       L-5        54       121        13        -2
     R-D3       L-4        61       104        14        -1
     R-D4       L-4        48       114        19        -1
     R-D5       L-5        51       114        13        -4
     R-D6       L-1        35        94        12        -4
     R-D7       L-3        74       124        13        -2
     R-D8       L-2        52       110        11        -4
     R-D9       L-2        42        83        10        -3
    R-D10       L-1        45        99        15        -1
    R-D11       L-3        56       119        17        -1
    R-D12       L-4        68       109        17        -4
    R-D13       L-4        62       108        11        -3
    R-D14       L-3        56       125        17        -3
    R-D15       L-1        45       111        14        -4
    R-D16       L-5        40        96        11        -1
    R-D17       L-5        55       103        16        -1
    R-D18       L-5        68       116        11        -2
    R-D19       L-5        65       108        10        -1
    R-D20       L-2        27        82        10        -2
    R-D21       L-1        59       114        16        -2
    R-D22       L-2        48       112        16        -3
    R-D23       L-2        43       111        13        -4
    R-D24       L-5        49        99        11        -4
    R-D25       L-3        64       127        19        -1
    R-D26       L-1        62       105        17        -3
    R-D27       L-3        46        94        13        -1
    R-D28       L-4        55        95        17        -2
    R-D29       L-3        55       119        16        -2
    R-D30       L-3        29        78        17        -3
    R-D31       L-3        58       104        16        -4
    R-D32       L-4        42       108        15        -3
    R-D33       L-3        41       106        17        -3
    R-D34       L-5        38        96        11        -3
    R-D35       L-2        47       112        17        -2
    R-D36       L-2        49        93        19        -2
    R-D37       L-5        49       116        17        -3
    R-D38       L-5        66       119        17        -4
    R-D39       L-2        51        98        19        -1
    R-D40       L-1        41        89        10        -4
