InstanceName: vrplc11_5_10_s3
T: 150
Q: 15
C: 3
ResourceType: ServiceResources

         L         X         Y
       L-D         0         0
       L-1       -15        12
       L-2        -1        -6
       L-3        -3        -2
       L-4        13         1
       L-5         3        12

        R         L         A         B         S         Q
     R-P1       L-3         4        33        19         4
     R-P2       L-3        25        41        13         2
     R-P3       L-5        32        59        14         1
     R-P4       L-5        14        32        19         1
     R-P5       L-1        20        51        13         4
     R-P6       L-3         4        29        12         4
     R-P7       L-5        45        77        13         2
     R-P8       L-3        36        69        11         4
     R-P9       L-3        27        48        10         3
    R-P10       L-2         7        29        15         1
     R-D1       L-2        28        79        19        -4
     R-D2       L-5        54       121        13        -2
     R-D3       L-4        61       104        14        -1
     R-D4       L-4        48       114        19        -1
     R-D5       L-5        51       114        13        -4
     R-D6       L-1        35        94        12        -4
     R-D7       L-3        74       124        13        -2
     R-D8       L-2        52       110        11        -4
     R-D9       L-2        42        83        10        -3
    R-D10       L-1        45        99        15        -1
