InstanceName: vrplc11_11_40_s7
T: 150
Q: 15
C: 7
ResourceType: ServiceResources

         L         X         Y
       L-D         0         0
       L-1       -15        12
       L-2        -1        -6
       L-3        -3        -2
       L-4        13         1
       L-5         3        12
       L-6       -16        -4
       L-7        14        12
       L-8        11       -19
       L-9       -12       -17
      L-10       -14         6
      L-11       -12         2

        R         L         A         B         S         Q
     R-P1       L-7        23        58        18         2
     R-P2      L-11        27        53        11         3
     R-P3       L-3         4        33        19         4
     R-P4       L-5        20        50        15         2
     R-P5       L-1        20        50        13         4
     R-P6      L-10        16        34        13         4
     R-P7       L-5        13        44        14         3
     R-P8       L-9        40        63        16         2
     R-P9      L-11        31        60        17         1
    R-P10       L-6        30        54        14         3
    R-P11       L-9        22        39        13         2
    R-P12      L-10        17        44        15         1
    R-P13       L-3        25        41        13         2
    R-P14       L-8        22        38        15         4
    R-P15       L-5        32        59        14         1
    R-P16       L-9        21        39        19         3
    R-P17       L-8        22        57        11         2
    R-P18      L-10        19        46        15         3
    R-P19       L-5        13        33        19         3
    R-P20      L-11        46        84        17         2
    R-P21       L-4        14        34        10         2
    R-P22       L-5        14        32        19         1
    R-P23      L-11        13        34        15         1
    R-P24      L-10        16        32        15         3
    R-P25      L-10        16        31        13         3
    R-P26       L-6        18        41        18         1
    R-P27      L-10        37        60        18         3
    R-P28       L-6        25        41        10         2
    R-P29       L-6        17        50        19         1
    R-P30       L-4        41        78        16         4
    R-P31       L-9        21        46        16         1
    R-P32       L-1        20        51        13         4
    R-P33      L-11        13        34        19         4
    R-P34       L-2        19        37        11         3
    R-P35      L-11        43        81        12         2
    R-P36       L-3        31        58        13         2
    R-P37       L-3         4        29        12         4
    R-P38      L-10        31        54        13         2
    R-P39       L-7        33        54        11         4
    R-P40       L-6        20        41        11         4
     R-D1      L-11        69       109        18        -2
     R-D2       L-2        52        93        11        -3
     R-D3       L-2        28        79        19        -4
     R-D4      L-10        54       112        15        -2
     R-D5      L-11        44       112        13        -4
     R-D6      L-11        34        81        13        -4
     R-D7       L-8        60       107        14        -3
     R-D8       L-2        72       115        16        -2
     R-D9       L-6        56       104        17        -1
    R-D10       L-1        61       108        14        -3
    R-D11      L-11        54       109        13        -2
    R-D12       L-9        56        99        15        -1
    R-D13       L-5        54       121        13        -2
    R-D14       L-6        68       108        15        -4
    R-D15       L-4        61       104        14        -1
    R-D16      L-10        64       113        19        -3
    R-D17       L-5        66       108        11        -2
    R-D18       L-3        48       101        15        -3
    R-D19      L-10        51       105        19        -3
    R-D20      L-10        68       114        17        -2
    R-D21       L-8        45       113        10        -2
    R-D22       L-4        48       114        19        -1
    R-D23      L-10        33        88        15        -1
    R-D24       L-6        42        83        15        -3
    R-D25      L-11        34        90        13        -3
    R-D26      L-11        44        96        18        -1
    R-D27       L-3        69       121        18        -3
    R-D28       L-4        65       114        10        -2
    R-D29       L-3        50        98        19        -1
    R-D30       L-7        69       112        16        -4
    R-D31       L-2        53       116        16        -1
    R-D32       L-5        51       114        13        -4
    R-D33      L-10        37       103        19        -4
    R-D34       L-6        46       102        11        -3
    R-D35       L-6        63       114        12        -2
    R-D36      L-10        58       106        13        -2
    R-D37       L-1        35        94        12        -4
    R-D38       L-2        62       126        13        -2
    R-D39       L-3        67       126        11        -4
    R-D40       L-9        45        94        11        -4
