InstanceName: vrplc11_8_15_s10
T: 150
Q: 15
C: 10
ResourceType: ServiceResources

         L         X         Y
       L-D         0         0
       L-1       -15        12
       L-2        -1        -6
       L-3        -3        -2
       L-4        13         1
       L-5         3        12
       L-6       -16        -4
       L-7        14        12
       L-8        11       -19

        R         L         A         B         S         Q
     R-P1       L-3         4        33        19         4
     R-P2       L-5        13        44        14         3
     R-P3       L-6        30        54        14         3
     R-P4       L-3        25        41        13         2
     R-P5       L-8        22        38        15         4
     R-P6       L-5        32        59        14         1
     R-P7       L-8        22        57        11         2
     R-P8       L-4        14        34        10         2
     R-P9       L-5        14        32        19         1
    R-P10       L-6        25        41        10         2
    R-P11       L-6        17        50        19         1
    R-P12       L-4        41        78        16         4
    R-P13       L-1        20        51        13         4
    R-P14       L-2        19        37        11         3
    R-P15       L-3         4        29        12         4
     R-D1       L-2        28        79        19        -4
     R-D2       L-8        60       107        14        -3
     R-D3       L-1        61       108        14        -3
     R-D4       L-5        54       121        13        -2
     R-D5       L-6        68       108        15        -4
     R-D6       L-4        61       104        14        -1
     R-D7       L-5        66       108        11        -2
     R-D8       L-8        45       113        10        -2
     R-D9       L-4        48       114        19        -1
    R-D10       L-4        65       114        10        -2
    R-D11       L-3        50        98        19        -1
    R-D12       L-7        69       112        16        -4
    R-D13       L-5        51       114        13        -4
    R-D14       L-6        46       102        11        -3
    R-D15       L-1        35        94        12        -4
