InstanceName: vrplc10_8_10_s2
T: 150
Q: 15
C: 2
ResourceType: ServiceResources

         L         X         Y
       L-D         0         0
       L-1         9        -5
       L-2        -1         5
       L-3        -3        -9
       L-4        12        -1
       L-5        -6         7
       L-6         8        -6
       L-7       -10        -2
       L-8       -12        15

        R         L         A         B         S         Q
     R-P1       L-7        11        46        16         2
     R-P2       L-5        26        49        13         3
     R-P3       L-5        19        35        16         2
     R-P4       L-1        11        34        18         3
     R-P5       L-4        22        38        18         1
     R-P6       L-7        15        46        17         4
     R-P7       L-5        40        74        11         2
     R-P8       L-3        36        74        19         4
     R-P9       L-3        13        30        18         1
    R-P10       L-3        13        46        14         1
     R-D1       L-1        47       101        16        -2
     R-D2       L-7        49        96        13        -3
     R-D3       L-6        55       103        16        -2
     R-D4       L-4        34       103        18        -3
     R-D5       L-7        63       112        18        -1
     R-D6       L-1        52       112        17        -4
     R-D7       L-2        57       124        11        -2
     R-D8       L-7        65       109        19        -4
     R-D9       L-2        46       115        18        -1
    R-D10       L-6        39       102        14        -1
