InstanceName: vrplc10_11_30_s2
T: 150
Q: 15
C: 2
ResourceType: ServiceResources

         L         X         Y
       L-D         0         0
       L-1         9        -5
       L-2        -1         5
       L-3        -3        -9
       L-4        12        -1
       L-5        -6         7
       L-6         8        -6
       L-7       -10        -2
       L-8       -12        15
       L-9        -8         8
      L-10       -14         9
      L-11         4         6

        R         L         A         B         S         Q
     R-P1      L-11         9        30        10         3
     R-P2       L-7        11        46        16         2
     R-P3       L-5        26        49        13         3
     R-P4      L-10        17        55        15         3
     R-P5       L-5        19        35        16         2
     R-P6      L-10        17        51        17         1
     R-P7      L-10        30        60        12         4
     R-P8      L-10        17        41        12         2
     R-P9      L-10        28        66        15         3
    R-P10       L-3        10        25        10         3
    R-P11       L-9        28        62        19         4
    R-P12      L-10        24        46        19         3
    R-P13       L-6        10        30        19         1
    R-P14       L-8        20        58        14         2
    R-P15      L-11        35        70        16         2
    R-P16       L-9        12        33        15         3
    R-P17       L-1        11        34        18         3
    R-P18       L-2        17        34        10         3
    R-P19       L-4        22        38        18         1
    R-P20       L-7        15        46        17         4
    R-P21       L-5        40        74        11         2
    R-P22       L-9        27        59        10         1
    R-P23       L-3        36        74        19         4
    R-P24       L-3        13        30        18         1
    R-P25       L-3        13        46        14         1
    R-P26       L-6        10        27        10         1
    R-P27       L-2         7        34        18         4
    R-P28       L-8        20        47        14         3
    R-P29       L-5        21        42        10         2
    R-P30       L-9        41        60        16         3
     R-D1       L-5        30        75        10        -3
     R-D2       L-1        47       101        16        -2
     R-D3       L-7        49        96        13        -3
     R-D4       L-7        44       102        15        -3
     R-D5       L-6        55       103        16        -2
     R-D6       L-3        56       120        17        -1
     R-D7       L-6        69       113        12        -4
     R-D8       L-2        43        98        12        -2
     R-D9       L-3        65       109        15        -3
    R-D10       L-9        38        93        10        -3
    R-D11       L-7        58       110        19        -4
    R-D12       L-8        50        91        19        -3
    R-D13       L-9        51       119        19        -1
    R-D14       L-9        43        87        14        -2
    R-D15       L-9        64       113        16        -2
    R-D16       L-2        35       104        15        -3
    R-D17       L-4        34       103        18        -3
    R-D18       L-9        35       102        10        -3
    R-D19       L-7        63       112        18        -1
    R-D20       L-1        52       112        17        -4
    R-D21       L-2        57       124        11        -2
    R-D22       L-2        45       114        10        -1
    R-D23       L-7        65       109        19        -4
    R-D24       L-2        46       115        18        -1
    R-D25       L-6        39       102        14        -1
    R-D26       L-1        22        66        10        -1
    R-D27       L-5        31        89        18        -4
    R-D28       L-1        63       113        14        -3
    R-D29       L-7        41        85        10        -2
    R-D30       L-2        65       114        16        -3
