InstanceName: vrplc10_5_10_s4
T: 150
Q: 15
C: 4
ResourceType: ServiceResources

         L         X         Y
       L-D         0         0
       L-1         9        -5
       L-2        -1         5
       L-3        -3        -9
       L-4        12        -1
       L-5        -6         7

        R         L         A         B         S         Q
     R-P1       L-1        11        34        18         3
     R-P2       L-5        40        74        11         2
     R-P3       L-3        13        30        18         1
     R-P4       L-2         7        34        18         4
     R-P5       L-2        45        63        13         2
     R-P6       L-1        13        38        19         1
     R-P7       L-4        36        72        18         3
     R-P8       L-2        15        46        17         4
     R-P9       L-5        15        42        11         2
    R-P10       L-2        24        47        11         1
     R-D1       L-4        34       103        18        -3
     R-D2       L-2        57       124        11        -2
     R-D3       L-2        46       115        18        -1
     R-D4       L-5        31        89        18        -4
     R-D5       L-5        64       119        13        -2
     R-D6       L-2        47       111        19        -1
     R-D7       L-2        69       123        18        -3
     R-D8       L-3        47       116        17        -4
     R-D9       L-4        46       109        11        -2
    R-D10       L-4        50        91        11        -1
